Região Geográfica Intermediária,Nome Região Geográfica Intermediária,Região Geográfica Imediata,Nome Região Geográfica Imediata,municipios,cod_ibge,reg_administrativa,reg_metropolitanas,Furto veiculo 2022,Furto outros 2022,Homicidio culposo outros 2022,Homicidio culposo por acidente 2022,Latrocinio 2022,Lesao culposa outros 2022,Lesao culposa acidente 2022,Lesao dolosa 2022,Vitimas homicidio 2022,Tentativa homicidio 2022,Total estupro 2022,Total roubos 2022,Populacao 2022,Indice Criminalidade
3510,Campinas,350048,Amparo,Aguas de Lindoia,3500501,RA de Campinas,Demais municípios,21,100,0,2,0,1,16,47,0,0,4,5,17925.0,0.0002760419496821171
3510,Campinas,350048,Amparo,Amparo,3501905,RA de Campinas,Demais municípios,41,329,0,4,0,1,64,194,0,2,23,30,67993.0,0.0002891964858637899
3510,Campinas,350041,Bragança Paulista,Atibaia,3504107,RA de Campinas,Demais municípios,128,1268,0,14,1,5,156,456,4,8,51,232,158399.0,0.00036415834495367826
3510,Campinas,350041,Bragança Paulista,Bom Jesus dos Perdoes,3507100,RA de Campinas,Demais municípios,21,183,0,4,1,0,14,65,4,1,14,24,21989.0,0.0004619056417683005
3510,Campinas,350041,Bragança Paulista,Braganca Paulista,3507605,RA de Campinas,Demais municípios,135,1514,1,24,1,5,260,542,8,7,30,171,176582.0,0.0003628508402494427
3510,Campinas,350039,Jundiaí,Cabreuva,3508405,RA de Campinas,RM de Jundiai,34,274,0,3,0,1,40,117,3,5,28,31,46971.0,0.00036181910104117433
3510,Campinas,350038,Campinas,Campinas,3509502,RA de Campinas,RM de Campinas,3510,17252,2,94,5,57,1336,3548,121,74,312,5568,1138627.0,0.0005759096295329848
3510,Campinas,350039,Jundiaí,Campo Limpo Paulista,3509601,RA de Campinas,RM de Jundiai,116,611,0,6,1,5,109,236,8,5,25,222,77607.0,0.0004312566066016142
3510,Campinas,350043,Mogi Guaçu,Estiva Gerbi,3557303,RA de Campinas,Demais municípios,19,92,0,0,0,2,23,74,0,1,4,12,11286.0,0.0005376512553546046
3510,Campinas,350038,Campinas,Holambra,3519055,RA de Campinas,RM de Campinas,11,81,0,1,0,1,22,25,0,0,2,3,15064.0,0.00022554450329277735
3510,Campinas,350038,Campinas,Indaiatuba,3520509,RA de Campinas,RM de Campinas,170,1799,0,15,0,11,264,726,7,14,71,282,255326.0,0.0003315852583063913
3510,Campinas,350043,Mogi Guaçu,Itapira,3522604,RA de Campinas,Demais municípios,125,711,1,7,0,1,106,209,5,2,12,129,71997.0,0.00040103236069734683
3510,Campinas,350039,Jundiaí,Itatiba,3523404,RA de Campinas,RM de Campinas,83,677,0,14,0,5,336,297,6,5,39,173,121437.0,0.0003684153984309621
3510,Campinas,350039,Jundiaí,Itupeva,3524006,RA de Campinas,RM de Jundiai,59,485,0,12,0,1,89,206,6,2,21,87,70394.0,0.00036564566211979345
3510,Campinas,350038,Campinas,Jaguariuna,3524709,RA de Campinas,RM de Campinas,114,1004,0,11,0,1,167,150,0,3,18,108,59227.0,0.000550397649693579
3510,Campinas,350039,Jundiaí,Jarinu,3525201,RA de Campinas,RM de Jundiai,24,190,0,7,1,1,35,111,3,5,20,50,37417.0,0.00039245037507859223
3510,Campinas,350041,Bragança Paulista,Joanopolis,3525508,RA de Campinas,Demais municípios,6,115,0,2,0,0,7,54,1,0,11,9,12807.0,0.0005081199740370507
3510,Campinas,350039,Jundiaí,Jundiai,3525904,RA de Campinas,RM de Jundiai,555,4800,0,42,1,23,614,1042,19,18,85,1080,442667.0,0.0003970078134178915
3510,Campinas,350048,Amparo,Lindoia,3527009,RA de Campinas,Demais municípios,1,36,0,0,0,1,14,22,0,0,0,3,7012.0,0.0002587258719603272
3510,Campinas,350039,Jundiaí,Louveira,3527306,RA de Campinas,RM de Jundiai,32,243,0,8,1,1,42,118,0,2,25,43,51727.0,0.000310378430122471
3510,Campinas,350043,Mogi Guaçu,Mogi Guacu,3530706,RA de Campinas,Demais municípios,325,1525,0,19,0,5,525,482,16,12,40,270,153538.0,0.0005027472625070616
3510,Campinas,350043,Mogi Guaçu,Mogi Mirim,3530805,RA de Campinas,Demais municípios,209,944,0,14,0,2,274,299,9,9,20,164,92515.0,0.0004932861010253866
3510,Campinas,350048,Amparo,Monte Alegre do Sul,3531209,RA de Campinas,Demais municípios,3,61,0,2,0,2,3,19,0,0,5,1,8616.0,0.000335203329632299
3510,Campinas,350039,Jundiaí,Morungaba,3532009,RA de Campinas,RM de Campinas,5,69,0,0,0,1,15,36,0,0,4,7,13705.0,0.00027036079571650536
3510,Campinas,350041,Bragança Paulista,Nazare Paulista,3532405,RA de Campinas,Demais municípios,13,135,0,7,0,2,8,49,3,2,11,21,18204.0,0.0004407809285858066
3510,Campinas,350038,Campinas,Paulinia,3536505,RA de Campinas,RM de Campinas,200,1123,0,7,0,7,256,378,10,15,34,216,110309.0,0.0004915082379296542
3510,Campinas,350041,Bragança Paulista,Pedra Bela,3536802,RA de Campinas,Demais municípios,2,45,0,0,0,0,6,7,1,0,4,2,6551.0,0.0003167340978362197
3510,Campinas,350038,Campinas,Pedreira,3537107,RA de Campinas,RM de Campinas,50,242,0,2,0,1,26,104,2,4,6,40,43101.0,0.0002663863595164493
3510,Campinas,350041,Bragança Paulista,Pinhalzinho,3538204,RA de Campinas,Demais municípios,7,86,0,5,1,0,16,41,4,0,1,3,15208.0,0.0003252271137594652
3510,Campinas,350041,Bragança Paulista,Piracaia,3538600,RA de Campinas,Demais municípios,13,178,0,6,0,0,33,84,1,1,12,15,26023.0,0.00038830630999097353
3510,Campinas,350038,Campinas,Santo Antonio de Posse,3548005,RA de Campinas,RM de Campinas,35,123,0,1,0,1,35,81,4,7,4,20,23225.0,0.000382394784978208
3510,Campinas,350048,Amparo,Serra Negra,3551603,RA de Campinas,Demais municípios,6,160,0,5,0,3,41,89,1,1,11,17,29868.0,0.00033497371785841054
3510,Campinas,350041,Bragança Paulista,Socorro,3552106,RA de Campinas,Demais municípios,22,191,0,2,0,0,54,95,1,2,7,14,40097.0,0.00025415390654685366
3510,Campinas,350041,Bragança Paulista,Tuiuti,3554953,RA de Campinas,Demais municípios,2,79,0,0,0,1,3,22,1,1,0,5,6772.0,0.0003593571224994734
3510,Campinas,350038,Campinas,Valinhos,3556206,RA de Campinas,RM de Campinas,175,818,0,13,0,14,249,278,4,3,30,156,126225.0,0.0003355250414073944
3510,Campinas,350041,Bragança Paulista,Vargem,3556354,RA de Campinas,Demais municípios,5,78,0,2,0,0,9,22,0,0,6,15,10499.0,0.0003631000868833044
3510,Campinas,350039,Jundiaí,Varzea Paulista,3556503,RA de Campinas,RM de Jundiai,207,753,0,7,0,5,144,348,4,7,45,271,115708.0,0.0003960760779649708
3510,Campinas,350038,Campinas,Vinhedo,3556701,RA de Campinas,RM de Campinas,72,496,0,9,0,5,148,187,4,6,22,88,76442.0,0.00035484256200616325
